# c0-circularity,c0-dist_max,c0-dist_min,c0-dist_ratio,c0-irregularity,c0-irregularity2,c0-n2_avg,c0-n2_stddev,c0-n2_wavg,c0-n2_wdist,c0-n2_wiavg,c0-n_avg,c0-n_stddev,c0-n_wavg,c0-n_wdist,c0-n_wiavg,c0-perimeter,c0-roisize
1.624170899391174316e+00,1.923538398742675781e+01,5.000000000000000000e+00,2.599376142024993896e-01,6.561802625656127930e-01,8.454424142837524414e-02,8.347884368896484375e+01,4.015739440917968750e+01,8.485104492187500000e+03,1.244587936401367188e+02,3.677228689193725586e+00,1.069576873779296875e+02,5.691880416870117188e+01,1.061182812500000000e+04,1.244587936401367188e+02,4.848806858062744141e+00,1.220000000000000000e+02,4.490000000000000000e+02
1.693187236785888672e+00,1.769180679321289062e+01,2.828427076339721680e+00,1.598721593618392944e-01,7.497153878211975098e-01,1.305978149175643921e-01,3.250584793090820312e+01,1.831553649902343750e+01,2.700400634765625000e+03,9.838596343994140625e+01,1.648608922958374023e+00,8.008479309082031250e+01,4.967526626586914062e+01,6.532029296875000000e+03,9.838596343994140625e+01,4.157507419586181641e+00,1.110000000000000000e+02,3.420000000000000000e+02
1.464541196823120117e+00,1.811077117919921875e+01,4.000000000000000000e+00,2.208630591630935669e-01,6.847712993621826172e-01,1.016896143555641174e-01,3.785233306884765625e+01,1.844124221801757812e+01,3.755204589843750000e+03,1.072020721435546875e+02,1.303395628929138184e+00,1.112409362792968750e+02,6.456324005126953125e+01,1.086555468750000000e+04,1.072020721435546875e+02,3.790682554244995117e+00,1.020000000000000000e+02,3.860000000000000000e+02
1.607940316200256348e+00,1.860107612609863281e+01,5.000000000000000000e+00,2.688016593456268311e-01,6.984773874282836914e-01,9.388916939496994019e-02,5.031499862670898438e+01,2.412469291687011719e+01,4.721517578125000000e+03,1.025274963378906250e+02,2.145405530929565430e+00,8.161250305175781250e+01,4.886134338378906250e+01,7.479810058593750000e+03,1.025274963378906250e+02,3.617493391036987305e+00,1.140000000000000000e+02,4.000000000000000000e+02
1.573457837104797363e+00,1.923538398742675781e+01,5.000000000000000000e+00,2.599376142024993896e-01,9.004374742507934570e-01,1.062017008662223816e-01,3.694721221923828125e+01,1.748739433288574219e+01,3.264530761718750000e+03,9.449266815185546875e+01,1.576341986656188965e+00,1.005513229370117188e+02,5.505383300781250000e+01,8.787850585937500000e+03,9.449266815185546875e+01,4.324295043945312500e+00,1.030000000000000000e+02,3.410000000000000000e+02
1.375404596328735352e+00,1.513274574279785156e+01,5.000000000000000000e+00,3.304092884063720703e-01,3.842009007930755615e-01,2.525041252374649048e-02,6.744802093505859375e+01,2.908266258239746094e+01,4.937180664062500000e+03,8.171781921386718750e+01,2.750715970993041992e+00,1.221757431030273438e+02,6.179026031494140625e+01,8.764388671875000000e+03,8.171781921386718750e+01,5.075041770935058594e+00,9.800000000000000000e+01,4.040000000000000000e+02
1.516505479812622070e+00,1.708800697326660156e+01,4.472136020660400391e+00,2.617119550704956055e-01,6.490068435668945312e-01,7.417134940624237061e-02,2.910555648803710938e+01,1.409537601470947266e+01,2.500755615234375000e+03,8.874166870117187500e+01,1.242227911949157715e+00,8.907221984863281250e+01,5.210173416137695312e+01,7.600294433593750000e+03,8.874166870117187500e+01,3.866879701614379883e+00,1.020000000000000000e+02,3.600000000000000000e+02
1.553505420684814453e+00,2.158703231811523438e+01,5.385164737701416016e+00,2.494629472494125366e-01,7.436875104904174805e-01,7.995417714118957520e-02,4.615384674072265625e+01,2.302387428283691406e+01,5.475339355468750000e+03,1.400848083496093750e+02,1.745195031166076660e+00,8.833728027343750000e+01,5.194522857666015625e+01,1.014096679687500000e+04,1.400848083496093750e+02,3.475840330123901367e+00,1.240000000000000000e+02,5.070000000000000000e+02
1.619262218475341797e+00,1.746424865722656250e+01,3.000000000000000000e+00,1.717794984579086304e-01,6.983665227890014648e-01,9.415905922651290894e-02,3.896327590942382812e+01,1.865251922607421875e+01,3.282771240234375000e+03,9.264124298095703125e+01,1.650508999824523926e+00,1.052655334472656250e+02,6.342359542846679688e+01,8.642288085937500000e+03,9.264124298095703125e+01,4.557130813598632812e+00,1.080000000000000000e+02,3.540000000000000000e+02
1.624248385429382324e+00,1.746424865722656250e+01,4.000000000000000000e+00,2.290393263101577759e-01,5.592236518859863281e-01,7.372432947158813477e-02,4.355476379394531250e+01,1.839021110534667969e+01,4.789352539062500000e+03,1.139261932373046875e+02,1.510496020317077637e+00,1.042095260620117188e+02,5.389890670776367188e+01,1.136477832031250000e+04,1.139261932373046875e+02,3.642851591110229492e+00,1.180000000000000000e+02,4.200000000000000000e+02
1.643915891647338867e+00,2.002498435974121094e+01,4.000000000000000000e+00,1.997504681348800659e-01,8.820013999938964844e-01,1.191758513450622559e-01,2.822606468200683594e+01,1.490877056121826172e+01,3.108579833984375000e+03,1.198510665893554688e+02,1.176929473876953125e+00,8.144149017333984375e+01,4.810340881347656250e+01,8.875231445312500000e+03,1.198510665893554688e+02,3.449971914291381836e+00,1.130000000000000000e+02,3.760000000000000000e+02
1.527532458305358887e+00,1.843908882141113281e+01,5.000000000000000000e+00,2.711630761623382568e-01,7.370389103889465332e-01,6.910225749015808105e-02,3.021542549133300781e+01,1.430725193023681641e+01,2.859965332031250000e+03,9.753989410400390625e+01,1.196372509002685547e+00,9.377659606933593750e+01,4.932880783081054688e+01,8.846680664062500000e+03,9.753989410400390625e+01,3.731299161911010742e+00,1.050000000000000000e+02,3.760000000000000000e+02
1.503016948699951172e+00,1.676305389404296875e+01,6.000000000000000000e+00,3.579300045967102051e-01,4.106369614601135254e-01,4.520408064126968384e-02,8.795569610595703125e+01,4.234126281738281250e+01,7.790987304687500000e+03,9.878903198242187500e+01,3.303910017013549805e+00,1.125675125122070312e+02,6.624099731445312500e+01,9.715323242187500000e+03,9.878903198242187500e+01,4.364804267883300781e+00,1.160000000000000000e+02,4.740000000000000000e+02
1.566879868507385254e+00,1.923538398742675781e+01,4.000000000000000000e+00,2.079501003026962280e-01,6.380397081375122070e-01,5.686250329017639160e-02,6.823529052734375000e+01,4.013467025756835938e+01,6.970374511718750000e+03,1.137037048339843750e+02,2.642464160919189453e+00,8.677559661865234375e+01,5.781811523437500000e+01,8.731293945312500000e+03,1.137037048339843750e+02,3.437254667282104492e+00,1.190000000000000000e+02,4.590000000000000000e+02
1.632715106010437012e+00,1.972308349609375000e+01,3.605551242828369141e+00,1.828087121248245239e-01,6.783875823020935059e-01,8.167325705289840698e-02,5.089106750488281250e+01,2.283988952636718750e+01,5.553771484375000000e+03,1.225620880126953125e+02,1.636673569679260254e+00,9.211111450195312500e+01,5.019771575927734375e+01,9.784832031250000000e+03,1.225620880126953125e+02,2.986280202865600586e+00,1.240000000000000000e+02,4.590000000000000000e+02
1.510537505149841309e+00,1.664331626892089844e+01,4.000000000000000000e+00,2.403367012739181519e-01,4.846929907798767090e-01,3.088443540036678314e-02,1.193175354003906250e+02,5.487025070190429688e+01,8.502201171875000000e+03,8.858767700195312500e+01,5.701088428497314453e+00,1.225402832031250000e+02,6.505519104003906250e+01,8.403021484375000000e+03,8.858767700195312500e+01,6.097002029418945312e+00,1.100000000000000000e+02,4.220000000000000000e+02
1.715915679931640625e+00,2.051828384399414062e+01,3.605551242828369141e+00,1.757238209247589111e-01,1.047738075256347656e+00,1.437279582023620605e-01,2.430330276489257812e+01,1.182023525238037109e+01,2.168083984375000000e+03,1.034324340820312500e+02,1.196435093879699707e+00,1.004534530639648438e+02,6.154899597167968750e+01,8.590011718750000000e+03,1.034324340820312500e+02,5.188362598419189453e+00,1.110000000000000000e+02,3.330000000000000000e+02
1.523145675659179688e+00,1.802775573730468750e+01,5.385164737701416016e+00,2.987152040004730225e-01,7.108535170555114746e-01,7.598128169775009155e-02,3.947978591918945312e+01,1.828783416748046875e+01,3.099250732421875000e+03,8.869272613525390625e+01,1.807209014892578125e+00,1.035660400390625000e+02,5.828886795043945312e+01,7.903369140625000000e+03,8.869272613525390625e+01,4.901137828826904297e+00,1.040000000000000000e+02,3.710000000000000000e+02
